# frame_id,track_id,center_x,center_y
150,1,952.5,646.0
160,1,949.5,657.0
170,1,939.0,647.0
180,1,937.0,652.0
190,1,955.0,665.0
200,1,976.0,678.0
210,1,999.0,687.0
220,1,1019.5,675.0
230,1,1028.5,651.0
240,1,1029.5,632.0
250,1,1022.5,609.0
260,1,996.0,599.0
270,1,957.5,595.0
280,1,923.0,592.0
290,1,907.0,576.0
300,1,907.0,552.0
310,1,928.0,531.5
320,1,943.0,529.5
330,1,957.0,484.5
340,1,970.5,478.5
350,1,977.5,546.0
360,1,937.5,562.0
370,1,910.5,603.0
380,1,910.5,674.0
390,1,891.5,715.0
400,1,901.0,777.0
410,1,913.0,784.0
420,1,905.0,779.5
430,1,920.5,769.5
440,1,931.5,754.5
450,1,944.5,751.5
460,1,955.5,764.0
470,1,964.5,763.5
480,1,968.5,739.0
490,1,966.0,720.0
500,1,965.0,709.5
510,1,938.0,670.5
520,1,918.0,646.5
530,1,931.5,607.5
540,1,961.5,585.5
550,1,984.5,578.5
560,1,989.5,565.0
570,1,963.0,563.0
580,1,942.0,568.5
590,1,925.5,575.0
600,1,907.0,586.0
610,1,890.5,598.5
620,1,890.0,612.0
630,1,919.5,628.5
640,1,950.0,655.0
650,1,958.0,639.5
660,1,961.0,599.0
670,1,961.0,569.0
680,1,968.0,532.0
690,1,966.0,477.0
700,1,970.0,460.0
710,1,977.0,465.0
720,1,997.5,489.5
730,1,1010.0,515.0
740,1,972.5,551.0
750,1,955.5,623.5
760,1,930.5,689.5
770,1,880.5,687.5
780,1,863.5,652.5
790,1,882.5,629.0
800,1,894.5,586.0
810,1,891.5,554.5
820,1,863.0,551.0
830,1,848.0,566.5
840,1,866.0,579.5
850,1,893.0,553.5
860,1,938.5,538.5
870,1,973.5,548.0
880,1,972.5,555.0
890,1,954.0,581.5
900,1,905.5,606.0
910,1,847.5,622.5
920,1,790.5,614.5
930,1,760.5,591.5
940,1,781.0,603.0
950,1,829.5,639.5
960,1,843.0,660.5
970,1,864.0,684.5
980,1,931.5,715.5
990,1,998.5,712.0
1000,1,1032.5,715.0
1010,1,1047.5,729.0
1020,1,1058.5,763.0
1030,1,1054.0,796.5
1040,1,1040.0,819.0
1050,1,984.0,809.5
1060,1,938.0,749.0
1070,1,935.0,662.0
1080,1,956.5,640.0
1090,1,982.5,630.0
1100,1,1021.5,643.0
1110,1,1100.5,621.0
1120,1,1147.0,578.0
1130,1,1160.0,538.5
1140,1,1068.0,511.5
1150,1,976.0,540.0
1160,1,955.0,537.0
1170,1,1021.0,526.0
1180,1,1049.0,535.5
1190,1,1067.5,523.0
1200,1,1100.5,543.0
1210,1,1127.0,554.0
1220,1,1143.5,552.0
1230,1,1167.5,540.5
1240,1,1148.0,500.5
1250,1,1038.5,448.5
1260,1,954.5,451.5
1270,1,884.0,453.5
1280,1,811.5,427.5
1290,1,794.0,449.0
1300,1,793.5,475.0
1310,1,762.0,477.5
1320,1,785.0,472.0
1330,1,827.0,510.5
1340,1,877.0,544.0
1350,1,930.0,601.0
1360,1,959.5,625.0
1370,1,936.5,601.0
1380,1,925.0,577.5
1390,1,933.5,597.5
1400,1,949.5,617.0
1410,1,962.0,592.0
1420,1,983.5,563.5
1430,1,964.5,566.0
1440,1,925.5,576.5
1450,1,910.0,578.0
1460,1,896.5,572.0
1470,1,866.0,581.0
1480,1,793.5,609.0
1490,1,797.5,630.0
1500,1,851.5,605.5
1510,1,840.0,551.5
1520,1,809.5,531.5
1530,1,870.5,543.5
1540,1,894.0,541.0
1550,1,880.5,549.0
1560,1,892.0,559.5
1570,1,909.0,589.5
1580,1,914.0,614.5
1590,1,911.5,595.0
1600,1,908.5,555.0
1610,1,889.5,544.0
1620,1,850.5,592.5
1630,1,827.0,624.0
1640,1,889.5,621.5
1650,1,926.5,597.0
1660,1,907.5,568.0
1670,1,960.5,576.0
1680,1,958.5,584.0
1690,1,979.5,595.0
1700,1,995.0,609.5
1710,1,993.5,631.0
1720,1,969.0,640.5
1730,1,960.5,626.0
1740,1,966.5,612.5
1750,1,983.0,636.5
1760,1,1003.5,645.5
1770,1,1026.5,608.0
1780,1,1063.0,559.5
1790,1,1096.0,510.0
1800,1,1118.5,467.0
1810,1,1033.0,472.5
1820,1,1037.5,489.5
1830,1,1023.5,506.5
1840,1,1016.0,545.0
1850,1,1038.0,599.5
1860,1,1051.5,617.0
1870,1,1048.0,637.5
1880,1,1042.0,671.5
1890,1,1018.5,694.5
1900,1,992.0,685.0
1910,1,980.0,666.0
1920,1,977.5,660.5
1930,1,976.5,644.5
1940,1,980.5,629.5
1950,1,988.0,601.5
1960,1,1006.0,621.5
1970,1,1016.5,642.0
1980,1,1026.0,674.5
1990,1,1007.0,689.0
2000,1,970.5,675.5
2010,1,947.5,660.0
2020,1,942.5,660.0
2030,1,939.0,655.5
2040,1,943.0,684.5
2050,1,950.5,711.5
2060,1,966.5,736.5
2070,1,993.5,749.5
2080,1,1014.5,754.5
2090,1,1016.0,723.0
2100,1,1011.5,689.5
2110,1,1001.5,678.5
2120,1,989.5,645.0
2130,1,978.5,608.0
2140,1,980.5,586.0
2150,1,989.0,601.0
2160,1,1003.0,612.0
2170,1,1007.0,659.0
2180,1,1015.0,715.0
2190,1,1012.0,744.0
2200,1,1012.0,708.0
2210,1,979.0,653.0
2220,1,971.0,595.0
2230,1,964.5,549.0
