# frame_id,track_id,center_x,center_y
150,1,840.0,665.0
160,1,837.0,661.0
170,1,845.0,669.0
180,1,859.0,667.0
190,1,878.0,675.0
200,1,903.0,682.0
210,1,928.0,691.0
220,1,950.0,701.0
230,1,980.0,710.0
240,1,1003.0,715.0
250,1,1011.0,706.0
260,1,1011.0,694.0
270,1,1009.0,674.0
280,1,1018.0,652.0
290,1,1018.0,636.0
300,1,999.5,619.0
310,1,974.5,606.0
320,1,961.5,604.0
330,1,970.5,597.0
340,1,980.0,592.0
350,1,979.5,587.5
360,1,985.0,582.0
370,1,984.0,575.0
380,1,973.0,575.0
390,1,945.5,577.5
400,1,916.5,575.5
410,1,893.0,580.5
420,1,889.0,600.0
430,1,907.0,621.0
440,1,947.0,626.0
450,1,1012.0,624.0
460,1,1078.0,606.0
470,1,1124.0,589.0
480,1,1138.0,573.0
490,1,1134.5,557.0
500,1,1109.0,568.0
510,1,1084.0,583.0
520,1,1060.0,614.0
530,1,1053.0,644.0
540,1,1058.0,656.0
550,1,1082.0,641.0
560,1,1106.0,614.0
570,1,1111.0,593.0
580,1,1081.0,585.0
590,1,1020.0,570.0
600,1,967.0,565.0
610,1,940.0,564.0
620,1,924.0,555.5
630,1,921.5,552.5
640,1,917.0,554.5
650,1,909.5,566.0
660,1,900.0,589.5
670,1,916.0,600.0
680,1,949.0,598.0
690,1,992.0,592.0
700,1,1025.0,589.0
710,1,1055.0,581.0
720,1,1072.0,579.0
730,1,1082.0,582.0
740,1,1087.0,590.0
750,1,1044.0,606.0
760,1,1066.5,592.5
770,1,1062.0,573.0
780,1,1059.0,544.0
790,1,1054.0,531.0
800,1,1041.0,552.5
810,1,1037.0,581.0
820,1,1010.0,557.0
830,1,981.0,511.0
840,1,964.0,485.0
850,1,945.0,503.0
860,1,951.0,526.0
870,1,957.0,534.0
880,1,966.0,548.0
890,1,956.5,562.0
900,1,939.5,590.0
910,1,915.0,598.0
920,1,900.0,611.5
930,1,891.5,626.0
940,1,874.5,641.5
950,1,851.5,656.0
960,1,830.0,667.5
970,1,817.5,675.0
980,1,808.0,675.5
990,1,798.5,672.0
1000,1,788.5,662.0
1010,1,779.0,653.0
1020,1,768.0,651.0
1030,1,749.5,656.0
1040,1,723.5,655.5
1050,1,694.0,652.5
1060,1,668.0,637.5
1070,1,648.5,639.0
1080,1,642.5,636.0
1090,1,655.0,620.5
1100,1,676.0,608.5
1110,1,695.0,610.5
1120,1,704.5,604.0
1130,1,707.0,581.5
1140,1,706.5,560.0
1150,1,707.0,537.5
1160,1,716.5,505.5
1170,1,738.0,478.0
1180,1,774.0,453.0
1190,1,882.5,403.5
1200,1,878.0,436.0
1210,1,897.0,429.5
1220,1,930.5,437.5
1230,1,950.5,446.5
1240,1,961.5,458.0
1250,1,964.5,464.0
1260,1,959.5,470.5
1270,1,949.5,471.0
1280,1,951.0,473.5
1290,1,959.5,473.5
1300,1,965.0,469.0
1310,1,971.5,473.0
1320,1,968.5,484.0
1330,1,999.5,494.5
1340,1,1016.5,515.5
1350,1,1032.5,542.0
1360,1,1040.5,574.0
1370,1,1035.5,588.5
1380,1,1010.0,592.0
1390,1,975.0,608.0
1400,1,966.0,619.0
1410,1,999.0,617.0
1420,1,1037.0,599.5
1430,1,1036.0,560.5
1440,1,952.0,540.5
1450,1,866.0,571.0
1460,1,820.0,621.0
1470,1,819.0,620.5
1480,1,838.5,592.5
1490,1,857.5,567.5
1500,1,890.0,554.5
1510,1,943.5,548.5
1520,1,1000.5,541.0
1530,1,1037.5,538.0
1540,1,1052.0,540.0
1550,1,1061.5,544.0
1560,1,1071.5,547.0
1570,1,1073.0,546.0
1580,1,1068.0,548.5
1590,1,1050.0,560.0
1600,1,1029.5,566.0
1610,1,1021.0,568.0
1620,1,1011.0,559.5
1630,1,995.5,551.5
1640,1,975.0,547.5
1650,1,963.0,550.0
1660,1,953.0,552.5
1670,1,963.0,555.0
1680,1,984.0,552.0
1690,1,1000.0,549.0
1700,1,1012.0,543.0
1710,1,1019.0,533.0
1720,1,1020.0,518.0
1730,1,1020.0,506.0
1740,1,1007.0,534.0
1750,1,997.0,595.0
1760,1,1003.5,622.0
1770,1,1012.5,592.5
1780,1,1001.0,596.0
1790,1,954.0,595.5
1800,1,895.5,569.0
1810,1,847.5,522.0
1820,1,817.5,480.0
1830,1,803.0,458.0
1840,1,816.5,458.5
1850,1,831.5,458.0
1860,1,848.5,449.5
1870,1,878.0,443.5
1880,1,887.0,440.5
1890,1,909.5,440.0
1900,1,932.0,440.0
1910,1,944.0,440.0
1920,1,953.0,427.5
1930,1,962.0,425.0
1940,1,969.5,431.0
1950,1,977.5,440.5
1960,1,982.5,439.5
1970,1,1003.5,435.0
1980,1,1013.5,445.0
1990,1,1039.0,459.5
2000,1,1056.5,485.0
2010,1,1069.0,489.5
2020,1,1071.0,455.5
2030,1,1050.5,433.5
2040,1,1027.5,441.5
2050,1,1010.5,473.0
2060,1,996.0,510.0
2070,1,992.0,553.0
2080,1,981.0,559.0
2090,1,968.5,567.0
2100,1,960.5,584.0
2110,1,945.0,600.5
2120,1,929.5,610.0
2130,1,907.5,612.0
2140,1,898.5,606.5
2150,1,908.0,590.5
2160,1,915.5,564.0
2170,1,919.5,561.5
2180,1,940.5,561.0
2190,1,974.0,583.0
2200,1,1010.0,603.0
2210,1,1044.0,621.0
2220,1,1050.0,624.5
2230,1,1026.5,625.5
2240,1,987.0,626.5
2250,1,943.0,632.5
2260,1,905.5,635.0
2270,1,893.5,634.0
2280,1,896.5,628.0
2290,1,918.0,605.0
2300,1,941.5,576.0
2310,1,959.5,567.0
