# frame_id,track_id,center_x,center_y
150,1,933.0,568.5
160,1,912.0,542.5
170,1,892.0,530.5
180,1,877.0,537.0
190,1,867.0,543.5
200,1,863.5,547.0
210,1,870.0,546.5
220,1,880.5,546.5
230,1,898.5,547.5
240,1,926.5,544.5
250,1,956.5,535.5
260,1,986.5,526.0
270,1,1010.0,517.0
280,1,1026.0,517.0
290,1,1030.5,528.0
300,1,1022.0,537.0
310,1,1001.0,533.0
320,1,979.5,526.0
330,1,980.0,527.5
340,1,1002.0,532.0
350,1,1030.5,537.0
360,1,1043.5,545.0
370,1,1031.0,538.0
380,1,998.5,527.0
390,1,958.5,529.5
400,1,932.0,547.5
410,1,929.0,569.5
420,1,930.5,587.5
430,1,936.0,588.5
440,1,927.5,598.5
450,1,901.0,604.5
460,1,898.0,603.0
470,1,934.0,589.0
480,1,964.5,581.0
490,1,985.0,576.0
500,1,999.0,571.0
510,1,988.5,556.5
520,1,948.5,527.5
530,1,897.0,485.0
540,1,848.5,437.5
550,1,805.0,400.0
560,1,764.5,382.5
570,1,721.5,380.0
580,1,685.0,395.5
590,1,670.5,403.5
600,1,665.5,400.5
610,1,654.0,408.0
620,1,635.5,436.0
630,1,640.5,434.5
640,1,665.5,410.5
650,1,704.0,370.0
660,1,742.0,347.0
670,1,778.5,342.5
680,1,812.0,376.5
690,1,842.0,447.5
700,1,866.0,554.5
710,1,871.0,614.0
720,1,855.0,596.0
730,1,853.5,593.0
740,1,860.0,614.5
750,1,845.5,629.5
760,1,826.0,642.0
770,1,805.5,646.5
780,1,765.0,650.5
790,1,730.5,656.5
800,1,699.5,667.5
810,1,686.0,660.0
820,1,698.5,633.0
830,1,728.0,597.5
840,1,776.5,561.0
850,1,822.5,544.5
860,1,860.5,543.0
870,1,865.0,581.5
880,1,868.5,598.5
890,1,915.5,590.5
900,1,970.5,571.5
910,1,1023.5,596.0
920,1,1038.0,682.0
930,1,1033.5,746.0
940,1,1017.0,714.5
950,1,997.5,665.5
960,1,975.0,618.5
970,1,963.5,560.0
980,1,980.5,493.5
990,1,1007.0,446.0
1000,1,1036.0,424.5
1010,1,1041.5,433.0
1020,1,1037.5,448.0
1030,1,1035.0,468.5
1040,1,1026.5,479.5
1050,1,998.0,498.5
1060,1,959.5,512.0
1070,1,921.5,528.5
1080,1,895.0,550.5
1090,1,893.0,560.5
1100,1,906.0,572.0
1110,1,928.5,561.0
1120,1,955.5,556.5
1130,1,974.0,565.0
1140,1,990.0,566.0
1150,1,999.5,555.0
1160,1,1008.0,527.5
1170,1,1022.5,490.0
1180,1,1033.0,461.0
1190,1,1030.5,458.5
1200,1,1020.5,454.5
1210,1,1007.0,453.0
1220,1,991.0,464.5
1230,1,966.0,487.0
1240,1,940.5,511.5
1250,1,912.0,515.0
1260,1,887.0,493.0
1270,1,871.5,454.5
1280,1,885.5,440.0
1290,1,921.0,462.0
1300,1,948.5,514.5
1310,1,957.0,548.0
1320,1,975.5,525.5
1330,1,988.0,504.5
1340,1,991.0,457.5
1350,1,973.0,417.0
1360,1,951.0,417.0
1370,1,932.5,438.5
1380,1,917.5,486.5
1390,1,913.5,543.0
1400,1,912.0,599.0
1410,1,889.0,663.0
1420,1,875.5,690.0
1430,1,888.5,671.0
