# frame_id,track_id,center_x,center_y
150,1,846.0,667.0
160,1,840.0,665.0
170,1,856.0,665.5
180,1,891.0,646.0
190,1,929.0,639.0
200,1,958.0,645.0
210,1,946.0,676.5
220,1,949.0,661.0
230,1,919.0,672.0
240,1,883.0,682.0
250,1,869.0,677.0
260,1,862.0,671.0
270,1,871.0,665.0
280,1,889.0,657.0
290,1,917.0,644.0
300,1,938.0,657.0
310,1,958.0,679.0
320,1,975.0,680.0
330,1,997.0,672.0
340,1,1017.0,670.0
350,1,1028.0,670.0
360,1,1013.0,678.0
370,1,994.0,682.0
380,1,1019.0,699.0
390,1,1067.0,720.0
400,1,1099.0,721.0
410,1,1097.0,711.0
420,1,1079.0,702.0
430,1,1068.0,703.0
440,1,1052.0,708.0
450,1,1013.0,708.0
460,1,962.0,702.0
470,1,921.0,704.0
480,1,909.0,696.0
490,1,909.0,696.0
500,1,893.0,674.0
510,1,862.0,657.0
520,1,835.0,629.0
530,1,821.0,602.0
540,1,826.0,585.0
550,1,863.0,581.0
560,1,903.0,588.0
570,1,936.0,589.0
580,1,956.0,585.0
590,1,962.0,585.0
600,1,959.0,585.0
610,1,942.0,601.0
620,1,924.0,640.0
630,1,918.0,687.0
640,1,914.0,704.0
650,1,921.0,723.0
660,1,927.0,720.0
670,1,931.0,710.0
680,1,936.0,707.0
690,1,957.0,686.0
700,1,967.0,643.0
710,1,960.0,591.0
720,1,952.5,574.5
730,1,949.5,579.5
740,1,947.5,603.5
750,1,936.5,622.5
760,1,931.5,659.5
770,1,944.5,713.5
780,1,955.0,743.5
790,1,961.0,731.0
800,1,971.0,726.5
810,1,981.0,732.0
820,1,991.0,714.0
830,1,994.0,666.5
840,1,975.0,639.5
850,1,933.0,630.0
860,1,885.0,623.0
870,1,861.0,623.5
880,1,863.0,621.0
890,1,879.0,610.5
900,1,900.0,604.5
910,1,920.0,615.5
920,1,940.0,647.5
930,1,959.5,684.5
940,1,969.5,688.5
950,1,963.5,683.0
960,1,954.5,671.5
970,1,959.0,671.0
980,1,977.0,668.0
990,1,1017.0,629.0
1000,1,1047.5,586.5
1010,1,1055.5,554.0
1020,1,1040.0,537.5
1030,1,1020.5,531.5
1040,1,1006.5,537.5
1050,1,995.0,546.0
1060,1,990.0,567.0
1070,1,995.5,590.5
1080,1,996.5,631.0
1090,1,996.0,676.5
1100,1,996.0,707.5
1110,1,994.0,752.5
1120,1,993.0,776.5
1130,1,1005.0,779.0
1140,1,1025.0,765.0
1150,1,1038.0,761.5
1160,1,1019.0,738.0
1170,1,997.0,704.0
1180,1,975.0,651.0
1190,1,960.0,622.0
1200,1,938.5,612.0
1210,1,921.5,613.5
1220,1,907.0,640.0
1230,1,935.0,654.0
1240,1,971.5,655.5
1250,1,1006.0,660.0
1260,1,1039.0,660.5
1270,1,1031.0,657.0
1280,1,998.0,657.5
1290,1,963.5,663.0
1300,1,937.5,674.0
1310,1,915.0,694.5
1320,1,891.5,705.5
1330,1,872.5,710.5
1340,1,873.0,684.0
1350,1,887.0,656.5
1360,1,904.5,646.5
1370,1,956.5,650.0
1380,1,1009.5,646.5
1390,1,1045.0,619.5
1400,1,1050.0,617.5
1410,1,1032.0,655.5
1420,1,1003.0,660.0
1430,1,967.0,645.0
1440,1,947.5,625.0
1450,1,942.0,621.0
1460,1,957.0,629.0
1470,1,989.5,632.5
1480,1,1043.0,614.5
1490,1,1063.5,609.5
1500,1,1066.5,626.5
1510,1,1068.5,629.5
1520,1,1061.0,623.0
1530,1,1053.5,627.5
1540,1,1024.0,625.5
1550,1,991.5,623.5
1560,1,963.0,620.0
1570,1,948.0,621.5
1580,1,928.5,627.5
1590,1,919.5,615.5
1600,1,925.5,620.5
1610,1,938.0,618.0
1620,1,950.0,617.5
1630,1,961.0,622.5
1640,1,980.5,606.0
1650,1,991.5,581.5
1660,1,997.5,563.5
1670,1,995.5,563.0
1680,1,990.0,565.5
1690,1,972.0,587.0
1700,1,954.0,625.0
1710,1,940.0,700.0
1720,1,945.0,764.0
1730,1,964.0,783.0
1740,1,983.0,734.0
1750,1,997.0,694.0
1760,1,1003.0,676.0
1770,1,997.0,646.0
1780,1,981.0,626.0
1790,1,969.0,591.0
1800,1,949.0,571.0
1810,1,919.0,575.0
1820,1,925.0,597.5
1830,1,940.0,618.5
1840,1,955.0,624.0
1850,1,979.0,625.0
1860,1,984.0,625.0
1870,1,974.0,618.0
1880,1,951.0,615.0
1890,1,937.0,631.0
1900,1,932.0,613.0
