# frame_id,track_id,center_x,center_y
150,1,887.0,579.5
160,1,923.5,560.5
170,1,952.5,547.5
180,1,974.0,550.5
190,1,976.5,557.5
200,1,960.5,573.0
210,1,938.5,588.0
220,1,917.0,595.5
230,1,906.0,595.5
240,1,910.0,596.0
250,1,921.5,601.0
260,1,924.0,606.5
270,1,923.0,609.0
280,1,919.5,607.5
290,1,925.0,597.0
300,1,932.5,580.5
310,1,946.0,570.0
320,1,967.5,576.0
330,1,991.5,578.5
340,1,1007.0,581.0
350,1,992.5,583.5
360,1,957.0,587.5
370,1,922.0,601.0
380,1,917.5,618.5
390,1,919.0,641.5
400,1,928.5,652.5
410,1,951.0,657.0
420,1,976.5,652.0
430,1,1008.0,654.5
440,1,1008.5,658.5
450,1,964.5,646.5
460,1,921.5,639.0
470,1,889.5,642.0
480,1,1107.0,634.0
490,1,1037.5,638.0
500,1,984.5,654.0
510,1,1030.5,649.0
520,1,1134.5,581.0
530,1,1174.0,505.5
540,1,1144.0,462.5
550,1,1027.5,572.5
560,1,973.0,633.0
570,1,1010.0,485.5
580,1,1028.0,348.5
590,1,993.5,477.5
600,1,935.5,636.5
610,1,895.5,701.5
620,1,896.5,643.5
630,1,911.5,606.0
640,1,884.0,597.5
650,1,834.0,588.0
660,1,790.5,572.0
670,1,804.5,585.5
680,1,848.5,618.5
690,1,896.5,630.0
700,1,948.5,656.0
710,1,989.5,718.0
720,1,994.5,763.5
730,1,974.5,768.5
740,1,946.0,760.5
750,1,939.0,727.5
760,1,955.5,671.0
770,1,983.0,623.0
780,1,1007.5,581.0
790,1,1023.0,552.5
800,1,1008.5,558.5
810,1,979.0,612.5
820,1,964.0,692.5
830,1,991.0,726.5
840,1,1014.0,681.5
850,1,1000.0,633.5
860,1,961.0,599.0
870,1,930.0,585.5
880,1,938.5,568.0
890,1,952.0,544.5
900,1,954.0,536.5
910,1,935.5,549.0
920,1,928.5,599.5
930,1,930.0,621.0
940,1,946.5,596.5
950,1,966.0,584.5
960,1,966.5,594.5
970,1,953.0,604.0
980,1,927.5,630.0
990,1,881.0,675.0
1000,1,818.0,728.0
1010,1,748.0,757.5
1020,1,715.5,772.0
1030,1,724.5,783.5
1040,1,768.5,778.0
1050,1,817.5,738.5
1060,1,866.0,677.5
1070,1,915.5,625.5
1080,1,971.0,609.0
1090,1,994.5,614.0
1100,1,989.5,609.0
1110,1,1000.0,589.0
1120,1,990.5,581.0
1130,1,945.0,534.0
1140,1,897.5,468.0
1150,1,870.0,428.5
1160,1,873.5,438.0
1170,1,896.0,477.0
1180,1,947.0,504.5
1190,1,1008.5,513.0
1200,1,1044.5,517.0
1210,1,1049.0,501.5
1220,1,1032.0,490.5
1230,1,1003.0,484.0
1240,1,972.0,500.0
1250,1,959.0,546.0
1260,1,969.0,606.0
1270,1,972.0,692.5
1280,1,972.5,705.5
1290,1,957.0,678.0
1300,1,951.0,634.0
1310,1,971.5,602.5
1320,1,986.5,602.5
1330,1,1008.5,602.5
