# frame_id,track_id,center_x,center_y
150,1,963.0,623.0
160,1,966.0,620.0
170,1,971.0,635.0
180,1,973.5,643.5
190,1,991.0,649.0
200,1,1004.5,651.0
210,1,1019.0,655.0
220,1,1039.5,662.0
230,1,1044.5,666.0
240,1,1055.5,666.0
250,1,1082.5,653.0
260,1,1110.0,628.0
270,1,1129.0,601.0
280,1,1133.0,577.0
290,1,1115.0,556.5
300,1,1076.0,538.0
310,1,1052.5,525.5
320,1,1036.5,524.0
330,1,1035.0,528.0
340,1,1051.0,534.0
350,1,1057.5,541.5
360,1,1042.0,537.5
370,1,1020.5,533.5
380,1,1001.5,530.0
390,1,982.5,521.5
400,1,974.5,532.0
410,1,964.0,540.0
420,1,960.5,544.5
430,1,958.5,558.5
440,1,951.0,578.5
450,1,946.0,602.0
460,1,939.0,626.0
470,1,939.0,638.0
480,1,938.0,639.5
490,1,922.5,630.5
500,1,919.0,613.5
510,1,935.5,592.0
520,1,957.0,574.0
530,1,972.0,556.5
540,1,994.0,539.5
550,1,1016.0,529.0
560,1,1012.5,527.0
570,1,974.5,534.0
580,1,943.0,546.5
590,1,919.0,563.0
600,1,915.5,572.5
610,1,898.0,589.5
620,1,871.5,584.5
630,1,860.5,576.5
640,1,850.0,573.5
650,1,824.5,574.0
660,1,810.0,568.0
670,1,798.5,557.5
680,1,785.5,559.5
690,1,780.5,568.0
700,1,796.5,572.0
710,1,827.5,582.0
720,1,854.0,584.0
730,1,868.5,583.0
740,1,873.5,582.5
750,1,881.5,589.5
760,1,880.0,598.0
770,1,886.0,607.0
780,1,897.0,606.0
790,1,920.0,603.0
800,1,947.0,614.0
810,1,977.5,620.0
820,1,1018.0,611.5
830,1,1050.0,595.5
840,1,1071.0,573.5
850,1,1074.0,559.0
860,1,1063.5,550.0
870,1,1059.0,538.0
880,1,1047.5,529.0
890,1,1038.0,531.0
900,1,1037.0,542.0
910,1,1026.0,542.5
920,1,1022.5,547.0
930,1,1028.5,552.0
940,1,1035.0,562.5
950,1,1027.0,579.5
960,1,1005.0,592.0
970,1,976.0,598.5
980,1,954.0,621.0
990,1,937.0,663.0
1000,1,901.0,671.0
1010,1,868.5,645.0
1020,1,845.5,628.5
1030,1,829.0,626.5
1040,1,830.5,666.0
1050,1,853.5,713.0
1060,1,892.5,746.5
1070,1,932.5,757.5
1080,1,971.5,735.0
1090,1,1003.0,682.0
1100,1,1023.0,602.5
1110,1,1031.5,541.0
1120,1,1027.5,515.5
1130,1,1017.0,527.0
1140,1,1008.0,575.5
1150,1,1014.0,620.5
1160,1,1031.0,652.0
1170,1,1056.0,663.0
1180,1,1075.0,667.0
1190,1,1070.5,660.5
1200,1,1056.5,649.0
1210,1,1038.0,631.5
1220,1,1027.0,604.0
1230,1,1013.5,600.5
1240,1,1007.5,585.5
1250,1,1013.0,583.0
1260,1,1032.5,587.5
1270,1,1041.5,602.5
1280,1,1024.5,624.5
1290,1,1014.0,630.5
1300,1,997.5,629.0
1310,1,983.5,627.5
1320,1,972.5,617.0
1330,1,993.0,595.5
1340,1,1016.0,600.0
1350,1,1044.5,624.5
1360,1,1105.5,661.0
1370,1,1182.0,710.0
1380,1,1246.0,763.0
1390,1,1273.0,808.0
1400,1,1257.0,852.5
1410,1,1191.5,866.0
1420,1,1102.0,844.5
1430,1,1025.5,814.0
1440,1,980.5,779.5
1450,1,942.0,744.0
1460,1,903.5,721.5
1470,1,885.0,735.5
1480,1,866.0,740.5
1490,1,856.0,736.0
1500,1,891.0,698.0
1510,1,909.0,678.0
1520,1,925.0,632.0
1530,1,942.5,632.5
1540,1,972.0,636.0
1550,1,995.5,659.5
1560,1,986.5,716.5
1570,1,950.5,783.0
1580,1,918.0,843.5
1590,1,885.5,903.5
1600,1,848.0,961.0
1610,1,808.5,986.5
1620,1,781.0,917.0
1630,1,785.5,820.0
1640,1,859.0,709.5
1650,1,995.0,617.5
1660,1,1118.5,604.0
1670,1,1192.0,626.0
1680,1,1204.5,688.5
1690,1,1174.0,692.5
1700,1,1103.0,659.5
1710,1,1026.0,640.0
1720,1,945.0,643.5
1730,1,892.5,655.5
1740,1,875.0,696.5
1750,1,888.0,733.5
1760,1,917.0,748.5
1770,1,959.5,747.0
1780,1,1012.0,724.0
1790,1,1054.0,732.0
1800,1,1092.0,760.0
1810,1,1146.0,799.0
1820,1,1202.0,854.0
1830,1,1223.0,923.0
1840,1,1194.0,964.0
1850,1,1144.0,1003.0
1860,1,1066.5,1055.0
1870,1,1051.5,1066.5
1880,1,1051.0,1073.5
1890,1,1055.0,1078.5
1900,1,1067.0,1079.5
1910,1,1077.5,1078.5
1920,1,1075.5,1078.5
1930,1,1078.0,1077.5
1940,1,1129.0,968.0
1950,1,1132.0,815.0
1960,1,1090.0,699.0
1970,1,1031.0,657.0
1980,1,972.0,674.0
1990,1,934.0,709.0
2000,1,908.0,764.0
2010,1,894.0,841.0
2020,1,905.0,879.0
2030,1,936.0,907.0
2040,1,965.0,905.0
2050,1,990.0,850.0
2060,1,1028.0,771.0
2070,1,1054.5,645.0
2080,1,1094.0,556.0
2090,1,1115.0,498.0
2100,1,1104.0,510.0
2110,1,1045.0,552.0
2120,1,977.0,596.0
2130,1,947.0,675.0
2140,1,958.0,746.0
