# frame_id,track_id,center_x,center_y
150,1,943.0,505.0
160,1,927.0,526.0
170,1,908.5,540.0
180,1,880.5,545.5
190,1,847.0,549.0
200,1,812.5,560.0
210,1,786.0,579.0
220,1,769.5,607.0
230,1,762.5,637.5
240,1,747.0,665.5
250,1,724.5,693.5
260,1,696.0,714.5
270,1,656.0,742.0
280,1,609.0,780.0
290,1,562.0,821.5
300,1,522.5,869.5
310,1,489.5,914.5
320,1,467.0,953.0
330,1,450.0,991.5
340,1,385.0,1078.5
350,1,387.0,1078.5
360,1,449.0,974.0
370,1,387.5,1078.5
380,1,449.5,949.0
390,1,389.0,1078.5
400,1,452.5,911.0
410,1,454.0,892.5
420,1,453.5,875.0
430,1,451.5,857.5
440,1,450.5,836.5
450,1,450.5,804.0
460,1,454.5,763.0
470,1,456.5,728.0
480,1,454.5,703.5
490,1,476.5,683.5
500,1,498.0,653.5
510,1,520.0,615.0
520,1,539.0,576.5
530,1,551.0,538.5
540,1,569.0,510.5
550,1,595.5,489.0
560,1,624.5,472.0
570,1,655.5,458.0
580,1,687.0,444.0
590,1,714.0,434.0
600,1,738.0,422.5
610,1,754.5,412.5
620,1,759.0,404.5
630,1,755.5,397.5
640,1,764.0,395.5
650,1,792.0,401.5
660,1,835.5,410.5
670,1,879.5,431.0
680,1,910.5,448.5
690,1,924.5,462.0
700,1,922.0,474.0
710,1,918.5,494.0
720,1,927.5,513.0
730,1,952.5,542.0
740,1,973.0,555.5
750,1,971.0,558.0
760,1,981.0,570.5
770,1,990.0,584.5
780,1,993.0,535.0
790,1,977.0,498.0
800,1,945.0,485.0
810,1,916.0,465.0
820,1,880.0,496.5
830,1,862.0,542.5
840,1,878.0,571.0
850,1,913.0,593.0
860,1,936.5,601.5
870,1,929.0,597.5
880,1,915.0,610.0
890,1,920.5,630.5
900,1,947.5,635.5
910,1,975.0,627.5
920,1,983.0,644.5
930,1,970.5,671.0
940,1,935.0,687.5
950,1,884.5,709.5
960,1,851.0,738.0
970,1,859.5,753.0
980,1,903.5,737.5
990,1,947.5,712.0
1000,1,978.5,713.5
1010,1,994.5,654.5
1020,1,997.0,550.5
1030,1,998.0,446.5
1040,1,1033.0,396.0
1050,1,1091.5,407.5
1060,1,1136.5,428.5
1070,1,1182.0,430.0
1080,1,1195.5,448.0
1090,1,1199.0,464.0
1100,1,1188.5,513.5
1110,1,1148.0,563.0
1120,1,1099.5,597.0
1130,1,1044.0,601.0
1140,1,999.0,577.5
1150,1,974.5,514.5
1160,1,971.5,476.0
1170,1,967.5,477.0
1180,1,974.0,474.0
1190,1,968.0,491.0
1200,1,939.0,499.0
1210,1,915.5,490.5
1220,1,909.0,484.0
1230,1,904.0,478.5
1240,1,895.5,490.0
1250,1,885.0,528.0
1260,1,872.5,554.0
1270,1,879.5,560.0
1280,1,905.0,553.0
1290,1,937.5,526.5
1300,1,947.5,498.0
1310,1,958.0,477.5
1320,1,972.5,464.5
1330,1,996.5,452.5
1340,1,1003.0,468.5
1350,1,987.5,498.5
1360,1,962.0,527.0
1370,1,931.5,524.5
1380,1,921.5,518.5
1390,1,927.0,523.5
1400,1,917.5,529.5
1410,1,929.5,500.0
1420,1,943.0,501.0
1430,1,955.0,510.5
1440,1,974.5,506.0
1450,1,991.0,487.0
1460,1,981.5,463.0
1470,1,958.5,443.5
1480,1,943.0,466.5
1490,1,948.0,496.5
1500,1,959.5,550.5
1510,1,965.5,659.0
1520,1,969.5,665.0
1530,1,978.5,669.0
1540,1,1005.5,674.0
1550,1,1019.5,677.0
1560,1,1019.5,677.0
1570,1,1019.5,677.0
