# frame_id,track_id,center_x,center_y
150,1,920.5,627.0
160,1,916.0,605.0
170,1,925.5,548.0
180,1,934.0,497.5
190,1,956.0,490.0
200,1,995.5,495.5
210,1,1032.0,499.5
220,1,1053.0,503.5
230,1,1015.5,495.0
240,1,995.0,491.0
250,1,977.5,497.0
260,1,954.0,495.0
270,1,943.5,482.5
280,1,945.0,462.5
290,1,945.0,460.5
300,1,942.0,461.0
310,1,940.0,463.0
320,1,933.0,463.0
330,1,923.5,465.0
340,1,929.5,474.5
350,1,955.5,486.0
360,1,1000.0,494.5
370,1,1050.5,496.0
380,1,1093.5,483.5
390,1,1101.5,476.0
400,1,1099.5,471.0
410,1,1094.0,454.0
420,1,1111.0,458.5
430,1,1124.0,472.5
440,1,1138.0,485.5
450,1,1144.5,491.0
460,1,1168.5,506.0
470,1,1178.5,525.0
480,1,1193.5,535.5
490,1,1196.5,531.0
500,1,1191.5,537.0
510,1,1179.0,543.0
520,1,1179.5,539.5
530,1,1181.0,537.5
540,1,1177.5,564.5
550,1,1177.0,581.0
560,1,1184.0,572.5
570,1,1211.0,557.5
580,1,1219.0,536.5
590,1,1192.0,545.0
600,1,1109.5,563.5
610,1,1026.5,578.5
620,1,993.5,581.5
630,1,1022.5,590.0
640,1,1003.0,595.5
650,1,994.5,590.0
660,1,999.0,580.5
670,1,987.5,552.0
680,1,999.0,519.0
690,1,1038.0,494.0
700,1,1074.5,490.5
710,1,1068.0,490.5
720,1,1030.5,539.0
730,1,1004.5,588.0
740,1,997.5,590.5
750,1,978.0,546.0
760,1,921.0,515.0
770,1,890.0,518.0
780,1,914.0,527.0
790,1,954.0,555.0
800,1,976.0,590.0
810,1,979.0,515.0
820,1,956.0,444.5
830,1,935.5,389.0
840,1,967.5,374.0
850,1,1042.0,379.0
860,1,1088.0,391.5
870,1,1092.0,441.5
880,1,1061.0,527.5
890,1,1005.0,585.5
900,1,939.5,589.5
910,1,903.5,585.5
920,1,885.5,587.5
930,1,866.5,586.0
940,1,847.0,579.5
950,1,841.5,559.0
960,1,870.5,542.5
970,1,927.0,517.5
980,1,1002.0,465.0
990,1,1083.0,412.0
1000,1,1145.5,406.5
1010,1,1156.0,432.0
1020,1,1126.5,469.5
1030,1,1069.5,493.0
1040,1,995.5,506.5
1050,1,928.5,503.5
1060,1,882.0,495.0
1070,1,832.5,487.5
1080,1,782.5,485.0
1090,1,744.5,500.0
1100,1,713.5,508.5
1110,1,695.0,522.0
1120,1,729.0,546.0
1130,1,791.5,562.0
1140,1,865.0,560.0
1150,1,931.0,556.0
1160,1,991.5,543.5
1170,1,1001.5,496.0
1180,1,997.5,421.0
1190,1,983.5,408.0
1200,1,948.0,422.0
1210,1,916.5,452.5
1220,1,900.5,479.0
1230,1,875.5,476.5
1240,1,846.0,497.0
1250,1,815.0,532.5
1260,1,815.0,564.0
1270,1,829.0,579.0
1280,1,858.5,574.5
1290,1,903.5,559.5
1300,1,949.5,563.5
1310,1,974.5,600.0
1320,1,967.0,618.0
1330,1,938.5,605.0
1340,1,900.0,561.0
1350,1,864.0,533.0
1360,1,830.0,532.0
1370,1,801.5,560.0
1380,1,778.5,610.0
1390,1,773.0,645.5
1400,1,789.5,646.0
1410,1,825.0,665.0
1420,1,878.5,661.5
1430,1,920.5,655.0
1440,1,951.5,628.5
1450,1,970.5,623.0
1460,1,998.0,692.0
1470,1,1007.0,772.0
1480,1,1021.0,835.0
1490,1,1037.0,898.0
1500,1,1048.0,897.0
1510,1,1045.0,804.0
1520,1,1065.0,770.0
1530,1,1069.0,738.0
1540,1,1053.0,703.0
