# frame_id,track_id,center_x,center_y
150,1,941.0,578.0
160,1,926.0,590.0
170,1,893.0,593.0
180,1,867.0,595.0
190,1,861.0,610.0
200,1,889.0,621.0
210,1,928.0,630.0
220,1,954.0,642.0
230,1,939.0,647.0
240,1,902.0,647.0
250,1,859.0,648.0
260,1,827.0,644.0
270,1,815.0,621.0
280,1,820.0,602.0
290,1,820.0,594.0
300,1,818.0,594.0
310,1,802.0,586.0
320,1,789.0,573.0
330,1,795.0,560.0
340,1,832.0,556.0
350,1,881.0,558.0
360,1,922.0,555.0
370,1,964.0,562.0
380,1,1009.5,568.0
390,1,1049.0,565.5
400,1,1064.5,557.0
410,1,1055.5,545.0
420,1,1030.0,539.5
430,1,1017.5,539.5
440,1,1016.5,542.0
450,1,1018.0,543.5
460,1,1013.5,547.0
470,1,998.0,550.0
480,1,986.0,554.0
490,1,977.0,559.0
500,1,968.5,573.5
510,1,959.0,584.5
520,1,940.0,583.0
530,1,928.5,583.0
540,1,924.5,586.5
550,1,922.0,593.0
560,1,914.0,596.5
570,1,903.5,594.5
580,1,902.5,591.0
590,1,919.0,574.5
600,1,948.5,542.5
610,1,981.0,492.0
620,1,1020.5,449.5
630,1,1058.0,417.0
640,1,1085.5,398.0
650,1,1094.5,390.5
660,1,1090.0,399.0
670,1,1085.5,416.0
680,1,1077.0,434.5
690,1,1059.0,454.5
700,1,1033.5,481.0
710,1,1014.0,511.5
720,1,1009.0,528.5
730,1,1014.0,540.0
740,1,1030.0,548.0
750,1,1045.5,548.0
760,1,1067.0,532.0
770,1,1088.5,506.0
780,1,1093.0,479.0
790,1,1071.5,463.5
800,1,1043.5,464.5
810,1,1012.0,463.5
820,1,990.5,466.0
830,1,990.5,473.5
840,1,1004.5,479.5
850,1,1010.0,470.5
860,1,1003.5,459.0
870,1,994.0,446.0
880,1,991.5,444.0
890,1,1005.0,450.0
900,1,1019.0,454.0
910,1,1021.0,447.0
920,1,1023.0,442.5
930,1,1028.0,454.0
940,1,1037.0,509.0
950,1,1045.0,582.0
960,1,1031.0,636.0
970,1,1004.0,623.0
980,1,978.0,586.0
990,1,954.0,544.0
1000,1,938.0,502.0
1010,1,924.0,488.0
1020,1,913.0,483.0
1030,1,899.5,477.0
1040,1,888.0,490.5
1050,1,889.0,511.5
1060,1,898.0,535.5
1070,1,941.0,552.0
1080,1,955.0,570.0
1090,1,942.0,583.0
1100,1,901.0,592.0
1110,1,859.0,630.0
1120,1,834.0,673.0
1130,1,821.0,705.0
1140,1,812.0,767.0
1150,1,805.0,853.0
1160,1,781.0,920.0
1170,1,753.0,933.0
1180,1,724.0,905.0
1190,1,700.0,844.0
1200,1,673.0,790.0
1210,1,664.0,760.0
1220,1,667.0,720.0
1230,1,683.0,668.0
1240,1,718.0,631.0
1250,1,779.0,609.0
1260,1,841.0,592.0
1270,1,891.0,583.0
1280,1,905.5,585.5
1290,1,889.0,585.0
1300,1,883.0,589.0
1310,1,886.0,612.0
1320,1,900.0,614.0
1330,1,927.0,608.0
1340,1,943.5,604.5
1350,1,953.5,604.0
1360,1,941.0,610.0
1370,1,943.0,627.0
1380,1,951.0,631.0
1390,1,971.0,626.5
1400,1,983.0,621.5
1410,1,985.5,615.5
1420,1,986.5,616.0
1430,1,989.5,617.0
1440,1,998.5,605.0
1450,1,993.0,588.0
