# frame_id,track_id,center_x,center_y
150,1,768.0,270.0
160,1,732.0,274.0
170,1,729.0,305.0
180,1,756.0,318.0
190,1,798.0,319.0
200,1,859.0,340.0
210,1,927.0,344.0
220,1,969.0,364.0
230,1,972.0,385.0
240,1,937.0,402.0
250,1,929.0,428.0
260,1,977.0,426.0
270,1,1045.0,406.0
280,1,1074.0,388.0
290,1,1043.0,364.0
300,1,1006.0,357.0
310,1,1002.0,363.0
320,1,1028.0,365.0
330,1,1073.0,360.0
340,1,1118.0,340.0
350,1,1150.0,324.0
360,1,1161.0,324.0
370,1,1146.0,335.0
380,1,1105.0,356.0
390,1,1051.0,374.0
400,1,979.0,382.0
410,1,922.0,395.0
420,1,913.0,411.0
430,1,958.0,400.0
440,1,994.0,410.0
450,1,988.0,429.0
460,1,950.0,462.0
470,1,896.0,490.0
480,1,853.0,511.0
490,1,813.0,522.0
500,1,786.0,530.0
510,1,784.0,506.0
520,1,796.0,471.0
530,1,816.0,449.0
540,1,878.0,416.0
550,1,959.0,387.0
560,1,1026.0,348.0
570,1,1043.0,356.0
580,1,1024.0,378.0
590,1,1014.0,388.0
600,1,1028.0,363.0
610,1,1052.0,351.0
620,1,1061.0,341.0
630,1,1062.0,328.0
640,1,1048.0,300.0
650,1,1055.0,320.0
660,1,1066.0,373.0
670,1,1049.0,455.0
680,1,1027.0,546.0
690,1,997.0,502.0
700,1,985.0,460.0
710,1,989.0,465.0
720,1,980.0,552.0
730,1,924.0,622.0
740,1,834.0,640.0
750,1,760.0,636.0
760,1,758.0,604.0
770,1,804.0,548.0
780,1,843.0,532.0
790,1,891.0,580.0
800,1,953.0,674.0
810,1,990.0,688.0
820,1,997.0,645.0
830,1,1017.0,571.0
840,1,1056.0,569.0
850,1,1095.0,640.0
860,1,1120.0,712.0
870,1,1124.0,772.0
880,1,1083.0,740.0
890,1,1032.0,681.0
900,1,989.0,639.0
910,1,950.0,605.0
920,1,905.0,563.0
930,1,865.0,515.0
940,1,836.0,460.0
950,1,836.0,414.0
960,1,824.0,390.0
970,1,843.0,375.0
980,1,920.0,373.0
990,1,972.0,424.0
1000,1,981.0,536.0
1010,1,986.0,557.0
1020,1,989.0,518.0
1030,1,985.0,462.0
1040,1,966.0,461.0
1050,1,945.0,500.0
1060,1,945.0,507.0
1070,1,952.0,531.0
1080,1,948.0,573.0
1090,1,981.0,538.0
1100,1,1057.0,451.0
1110,1,1130.0,402.0
1120,1,1179.0,358.0
1130,1,1184.0,318.0
1140,1,1186.0,295.0
1150,1,1205.0,296.0
1160,1,1177.0,335.0
1170,1,1100.0,360.0
1180,1,1037.0,371.0
1190,1,992.0,357.0
1200,1,964.0,353.0
1210,1,935.0,372.0
1220,1,910.0,401.0
1230,1,903.0,411.0
1240,1,917.0,383.0
1250,1,944.0,354.0
1260,1,976.0,350.0
1270,1,1013.0,335.0
1280,1,1017.0,342.0
1290,1,983.0,339.0
1300,1,959.0,378.0
1310,1,999.0,431.0
1320,1,1056.0,494.0
1330,1,1065.0,558.0
1340,1,1036.0,635.0
1350,1,1032.0,570.0
1360,1,1029.0,483.0
1370,1,1042.0,417.0
